freq,siec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,C0000X0350-0370,PC,UK	13.515 	18.902 	21.990 	23.043 	19.354 	22.151 	26.387 	31.795 	35.186 	37.189 	39.599 	55.903 	48.222 	50.656 	60.373 	72.263 	76.086 	68.577 	75.724 	79.795 	50.341 	63.637 	68.693 	84.823 	89.521 	59.151 	50.153 	57.769 	81.818 	74.003 	: 	: 	: 	: 	: 
A,C0000X0350-0370,PC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.874 	0.778 	0.784 	0.834 	0.966 	1.521 	1.820 	1.007 	1.125 	0.438 	1.554 	1.883 	3.319 	0.595 	0.240 	-0.100 	-0.113 	0.020 	0.045 	-0.184 	0.316 	-2.109 	-1.149 	: 	: 
A,C0110,PC,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	: 	: 
A,C0110,PC,AT	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.003 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.150 	102.247 	123.660 	100.560 	100.640 	106.629 	105.336 	125.010 	156.719 	121.430 
A,C0110,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	107.083 	85.181 	101.920 	: 	: 
A,C0110,PC,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	83.924 	106.842 	128.969 	112.743 	110.000 	88.802 	95.491 	81.556 	253.125 	93.396 	82.906 	82.051 	110.281 	81.041 	102.011 	80.117 	130.396 	127.142 	101.355 	109.421 	13.216 	89.472 	146.165 
A,C0110,PC,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	117.619 	93.296 	83.645 	104.988 	131.954 	92.576 	81.208 	104.464 	117.087 	80.008 	51.086 	75.234 	68.591 	108.254 	115.265 	113.815 	101.811 	107.595 	194.430 	82.023 	100.019 
A,C0110,PC,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0110,PC,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	92.857 	111.503 	104.176 	123.623 	61.995 	142.891 	85.601 	71.966 	105.300 	135.464 	75.618 	132.924 	59.948 	96.198 	95.926 
A,C0110,PC,DE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	48.286 	34.845 	29.470 	24.409 	25.113 	35.470 	28.025 	31.798 	42.387 	37.156 	40.614 	44.356 	51.705 	28.488 	33.738 	34.671 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
A,C0110,PC,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0110,PC,EA20	100.362 	95.794 	100.191 	100.000 	100.000 	100.000 	97.304 	100.000 	99.226 	102.513 	100.000 	100.000 	89.847 	56.599 	31.203 	34.308 	29.130 	29.026 	48.729 	51.301 	68.467 	47.556 	42.664 	52.588 	54.590 	57.504 	54.116 	60.539 	72.030 	101.313 	107.133 	110.775 	98.548 	94.986 	105.896 
A,C0110,PC,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0110,PC,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0110,PC,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6.598 	16.172 	14.210 	5.176 	50.633 	114.220 	-149.609 	15.615 	9.322 	12.149 	19.069 	28.186 	40.271 	54.715 	82.786 	76.737 	190.519 	292.525 	229.241 	81.277 	136.849 
A,C0110,PC,EU27_2020	100.362 	95.794 	100.191 	100.000 	100.000 	100.000 	97.304 	100.000 	99.226 	102.513 	100.000 	100.000 	90.252 	56.768 	44.500 	44.525 	41.075 	46.285 	69.013 	60.783 	73.120 	57.415 	50.392 	56.290 	54.935 	59.173 	58.893 	68.220 	76.771 	102.035 	105.282 	109.139 	104.843 	94.901 	104.958 
A,C0110,PC,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.000 	100.000 	100.000 	399.976 	0.000 	0.000 	133.331 	155.556 	71.428 	121.428 	0.000 	0.000 
A,C0110,PC,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.382 	100.131 	100.120 	99.687 	99.435 	97.751 	101.336 	100.189 	98.778 	98.913 	98.147 	108.784 	101.458 	97.933 
A,C0110,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.000 	100.000 	266.670 	233.335 	224.244 	185.713 	167.680 	108.863 	198.586 	103.466 	: 	: 
A,C0110,PC,HR	101.447 	75.480 	101.854 	100.000 	100.000 	100.000 	2.940 	0.000 	0.000 	0.000 	100.000 	100.000 	3600.913 	0.000 	100.000 	100.000 	100.000 	100.000 	0.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
A,C0110,PC,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.000 	0.000 	0.000 	0.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
A,C0110,PC,IE	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	97.194 	100.000 	98.292 	106.046 	100.000 	100.000 	100.000 	100.000 	105.579 	108.007 	114.290 	89.656 	108.341 	144.122 	86.907 	92.508 	85.972 	127.388 	103.569 	87.961 	110.543 	93.730 	101.641 	97.792 	89.108 	96.619 	75.214 	90.808 	104.251 
A,C0110,PC,IS	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	121.348 	92.157 	119.318 	100.000 	106.122 	99.048 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	: 	: 	: 
A,C0110,PC,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.000 	106.157 	108.280 	91.167 	118.079 	75.243 	80.190 	102.659 
A,C0110,PC,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.000 	0.000 	0.000 	100.000 	100.000 	0.000 	0.000 	0.000 	100.000 	100.000 	0.000 	25.001 	100.000 	100.000 	100.000 	0.000 	100.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
