freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,UK,PC,AT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,BA	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,BE	10.20 i	9.02 i	6.11 i	4.01 i	4.92 i	6.64 i
A,G3000,UK,PC,BG	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,CY	: m	: m	: m	: m	: m	: m
A,G3000,UK,PC,CZ	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,DE	1.99 i	0.00 i	0.00 i	0.00 i	0.00 i	1.56 i
A,G3000,UK,PC,DK	: m	: m	: m	: m	: m	0.00 i
A,G3000,UK,PC,EE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,EL	0.00 i	0.00 i	0.02 i	0.00 i	0.14 i	0.21 i
A,G3000,UK,PC,ES	0.00 i	0.00 i	0.02 i	0.01 i	0.01 i	0.00 i
A,G3000,UK,PC,FI	0.00 i	0.00 i	0.00 i	0.06 i	0.03 i	0.00 i
A,G3000,UK,PC,FR	1.65 i	1.23 i	0.99 i	0.71 i	0.73 i	1.04 i
A,G3000,UK,PC,GE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,HR	0.00 i	0.00 i	0.04 i	0.03 i	0.03 i	0.00 i
A,G3000,UK,PC,HU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,IE	47.70 i	46.81 i	47.35 i	46.64 i	45.88 i	100.00 i
A,G3000,UK,PC,IS	: m	: m	: m	: m	: m	: m
A,G3000,UK,PC,IT	0.52 i	0.30 i	0.22 i	0.23 i	0.26 i	0.19 i
A,G3000,UK,PC,LI	: m	: m	1.77 i	: m	0.00 i	0.00 i
A,G3000,UK,PC,LT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,LU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,LV	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,MD	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,ME	: m	: m	: m	: m	: m	: m
