freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_OTH_HH_E,G3000,TJ,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	9428.400 	10803.600 	10860.300 	12070.800 	14401.800 	10332.720 	8599.680 
A,FC_OTH_HH_E,G3000,TJ,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_OTH_HH_E,G3000,TJ,MK	0.000 	0.000 	0.000 	0.377 	1.688 	7.742 	3.852 	6.300 	8.100 	7.560 	7.485 	7.486 	5.346 	4.380 
A,FC_OTH_HH_E,G3000,TJ,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_OTH_HH_E,G3000,TJ,NL	406742.400 	315980.099 	337907.700 	358966.800 	267704.101 	285287.224 	297254.480 	288294.638 	286385.267 	276544.475 	264734.044 	300437.553 	237450.614 	201182.987 
A,FC_OTH_HH_E,G3000,TJ,NO	165.859 	138.364 	148.447 	155.470 	159.033 	140.561 	150.893 	134.717 	134.334 	64.808 	65.519 	64.205 	52.631 	76.929 
A,FC_OTH_HH_E,G3000,TJ,PL	0.000 	0.000 	0.000 	0.000 	0.000 	132201.900 	145148.400 	151972.030 	149111.137 	152348.126 	160832.871 	191170.760 	181655.276 	176065.297 
A,FC_OTH_HH_E,G3000,TJ,PT	12519.000 	10800.900 	10793.700 	10246.500 	10808.100 	11007.000 	10208.700 	10497.600 	11433.600 	11900.270 	12285.900 	12005.669 	11176.980 	10502.907 
A,FC_OTH_HH_E,G3000,TJ,RO	0.000 	0.000 	0.000 	0.000 	0.000 	93902.489 	95780.012 	101372.010 	105248.360 	104871.182 	113818.595 	134228.413 	112297.061 	108575.899 
A,FC_OTH_HH_E,G3000,TJ,RS	9707.400 	8889.300 	8142.300 	7285.500 	5967.900 	6327.900 	7023.600 	8001.448 	8133.823 	8506.640 	10100.754 	12390.294 	12578.118 	12170.498 
A,FC_OTH_HH_E,G3000,TJ,SE	0.000 	0.000 	0.000 	0.000 	0.000 	1199.700 	1265.400 	1512.000 	1368.900 	833.400 	795.600 	1165.500 	1062.000 	972.338 
A,FC_OTH_HH_E,G3000,TJ,SI	4762.353 	4744.071 	4905.540 	4789.174 	3710.843 	4332.239 	4814.183 	4986.716 	4645.386 	4427.348 	4425.980 	4710.310 	4198.892 	3525.109 
A,FC_OTH_HH_E,G3000,TJ,SK	0.000 	0.000 	0.000 	0.000 	0.000 	43983.900 	44712.900 	48149.100 	46845.000 	46891.800 	47871.000 	51441.300 	46377.000 	43948.800 
A,FC_OTH_HH_E,G3000,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	621990.570 	586039.155 
A,FC_OTH_HH_E,G3000,TJ,UA	: 	: 	: 	: 	: 	: 	388803.690 	332724.996 	363796.201 	286006.501 	245019.325 	: 	: 	: 
A,FC_OTH_HH_E,G3000,TJ,UK	1262289.416 	1000644.034 	1111903.571 	1116183.117 	919158.810 	964164.520 	991034.853 	956047.935 	1013375.862 	1004187.778 	: 	: 	: 	: 
